epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,387.587,0.47238,0.37353,0.98842,0.93825,0.91071,0.93993,0.84423,0.42046,0.30866,0.92364,0.00177626,0.00177626,0.00177626
115,391.006,0.44568,0.37436,1.00125,0.98178,0.96218,0.96644,0.87614,0.39238,0.26655,0.91049,0.00177428,0.00177428,0.00177428
116,394.455,0.48849,0.38606,1.00761,0.99868,0.96429,0.9685,0.87885,0.39371,0.28042,0.91635,0.0017723,0.0017723,0.0017723
117,397.885,0.47443,0.38097,0.98443,0.96361,0.94585,0.9603,0.88232,0.39568,0.29829,0.90681,0.00177032,0.00177032,0.00177032
118,401.262,0.50387,0.38843,1.01297,0.95979,0.94643,0.96343,0.88225,0.37843,0.27518,0.91015,0.00176834,0.00176834,0.00176834
119,404.746,0.49151,0.37186,0.99735,0.92876,0.96429,0.96148,0.8907,0.37912,0.33374,0.89079,0.00176636,0.00176636,0.00176636
120,408.035,0.43543,0.35302,0.99698,0.94684,0.95417,0.96378,0.8746,0.36929,0.32766,0.88928,0.00176438,0.00176438,0.00176438
121,411.286,0.47063,0.36403,0.99282,0.97159,0.92857,0.95546,0.85968,0.41578,0.33216,0.90406,0.0017624,0.0017624,0.0017624
122,414.698,0.45895,0.35276,0.98948,0.99035,0.89286,0.94435,0.84569,0.41061,0.36991,0.91593,0.00176042,0.00176042,0.00176042
123,418.046,0.47962,0.38086,0.98715,0.95547,0.91071,0.94091,0.83637,0.40656,0.3356,0.90513,0.00175844,0.00175844,0.00175844
124,421.355,0.46793,0.37331,0.98552,0.96224,0.85714,0.95289,0.87133,0.39496,0.30131,0.89875,0.00175646,0.00175646,0.00175646
125,424.68,0.46267,0.35259,0.99234,0.90847,0.88632,0.93378,0.85645,0.37096,0.33204,0.8973,0.00175448,0.00175448,0.00175448
126,428.136,0.44919,0.35771,0.96529,0.94343,0.92857,0.94202,0.86321,0.35802,0.33209,0.89381,0.0017525,0.0017525,0.0017525
127,431.515,0.46069,0.35113,0.99084,1,0.92793,0.95465,0.87694,0.36442,0.29014,0.89361,0.00175052,0.00175052,0.00175052
128,434.884,0.44109,0.35797,0.98179,0.99628,0.94643,0.96675,0.88883,0.36952,0.26217,0.9027,0.00174854,0.00174854,0.00174854
129,438.106,0.46225,0.38206,1.00236,0.99523,0.92857,0.96746,0.88,0.4042,0.27578,0.91031,0.00174656,0.00174656,0.00174656
130,441.455,0.47933,0.37844,0.98566,0.98147,0.94567,0.97044,0.87559,0.41066,0.28622,0.94638,0.00174458,0.00174458,0.00174458
131,444.828,0.46822,0.35513,0.99078,0.94312,0.94643,0.96078,0.86105,0.43297,0.32569,0.9398,0.0017426,0.0017426,0.0017426
132,448.208,0.44114,0.33974,0.97055,0.97674,0.92857,0.93262,0.8312,0.3895,0.3151,0.92636,0.00174062,0.00174062,0.00174062
